Year(Release_Date),Developer,Count(*)
2010,"Absolutist Ltd.",1
2010,"Airtight Games",1
2010,Akella,2
2010,Alawar,5
2010,AllAboard,2
2010,"Altar Games",1
2010,"Animation Arts",2
2010,"Apus Software",1
2010,"Arcen Games, LLC",6
2010,ArenaNet®,1
2010,"Army Game Studio",1
2010,"Artech Studios",1
2010,"Artery Games",1
2010,"Artery Studios",1
2010,"Ascaron Entertainment ltd.",1
2010,"Aspyr (Mac)",4
2010,"Aspyr (Mac, Linux)",8
2010,"Aspyr Studios",2
2010,"Astragon/TML Studios",2
2010,Avalanche,9
2010,"Avalanche Studios",8
2010,"Awem Studio",3
2010,"Basilisk Games",1
2010,"Beatnik Games",1
2010,"Bethesda Game Studios",5
2010,"Big Fish Games",14
2010,"Binary Takeover",1
2010,BioWare,4
2010,"bitComposer Games",1
2010,BL-Logic,1
2010,"Blendo Games",4
2010,"Blind Mind Studios",2
2010,"Blue Byte",3
2010,"Blue Castle Games",1
2010,"Bohemia Interactive",7
2010,Brawsome,2
2010,"Brian Cronin",1
2010,"Cadenza Interactive",2
2010,"CAPCOM CO., LTD.",2
2010,"Capcom Vancouver",1
2010,"Cateia Games",1
2010,Cauldron,1
2010,CCP,1
2010,"Centauri Production",3
2010,"Chaos Concept",1
2010,"CINEMAX, s.r.o.",2
2010,"City Interactive",2
2010,"Climax Studios",2
2010,Clockstone,1
2010,"ClockStone Studios",1
2010,"Codemasters - Birmingham Studio",1
2010,"Cold Beam Games",3
2010,"Coreplay GmbH",1
2010,"Criterion Games",1
2010,Croteam,6
2010,"Crystal Dynamics",2
2010,"Crystal Dynamics Inc.",1
2010,"Cyan Worlds",3
2010,"Cyanide Studios",1
2010,"Daedalic Entertainment",1
2010,"Dagger Games",2
2010,"Dark Water Studios Ltd",1
2010,"Dark Water Studios, Ltd.",1
2010,"Darkling Room",1
2010,"Dedication Games",2
2010,DICE,4
2010,"Digital Extremes",1
2010,"Dmytry Lavrov",2
2010,"DnS Development",2
2010,"Doctor Entertainment",2
2010,"Double Helix Games",8
2010,doublesix,1
2010,"Dovetail Games",10
2010,"EA - Maxis",1
2010,"EA Los Angeles",1
2010,"Eagle Dynamics",1
2010,EasyGameStation,2
2010,Egosoft,2
2010,"Electronic Arts",2
2010,"Elite Games Team",2
2010,"Enlight Software Limited, PerspectX",1
2010,"Eugen Systems",3
2010,Eurocom,1
2010,Exkee,1
2010,"exosyphen studios",4
2010,Fatshark,1
2010,"Feral Interactive (Linux)",1
2010,"Feral Interactive (Mac)",8
2010,"Firaxis Games",9
2010,Firemint,1
2010,"Frictional Games",2
2010,"G5 Entertainment",1
2010,"Gaijin Entertainment",5
2010,"Gaijin Games",1
2010,"Gaming Minds Studios",1
2010,"Gas Powered Games",3
2010,"Gearbox Software",3
2010,"Giants Software",4
2010,Gogii,2
2010,Gogiii,1
2010,GrendelGames,2
2010,"GSC Game World",2
2010,"Haemimont Games",3
2010,"Hassey Enterprises, Inc.",2
2010,"Headup Games",2
2010,"Headup Games / Radon Labs",1
2010,"Her Interactive",1
2010,"Hi-Rez Studios",2
2010,"Hidden Path Entertainment",4
2010,"High Moon Studios",1
2010,"Hothead Games",3
2010,"I Sioux Game Productions B.V.",6
2010,"Icehole Games",1
2010,"Ideas Pad",1
2010,ImagineEngline,2
2010,"Infinite Interactive",2
2010,"Infinity Ward",3
2010,"inner seas",3
2010,Ino-Co,2
2010,"Invent4 Entertainment",2
2010,"IO Interactive",5
2010,ISOTX,2
2010,"Ivy Games",1
2010,Joshyy,1
2010,"Katauri Interactive",1
2010,"Kerberos Productions Inc.",2
2010,"Klei Entertainment",3
2010,Kokakiki,1
2010,"Krome Studios",2
2010,"Lesta Studio",2
2010,"Lively Ivy",1
2010,"Llamasoft LTD",1
2010,LucasArts,2
2010,Ludosity,2
2010,"Ludosity Interactive",1
2010,"Lunar Giant",1
2010,"Methid Solutions",1
2010,"Monolith Productions, Inc.",3
2010,"Monte Cristo",1
2010,"Muse Games",2
2010,"Muzzy Lane Software",2
2010,"N3V Games",5
2010,"Nemesys Games",1
2010,"Nemesys Team Studio",1
2010,NeoCoreGames,4
2010,"New Star Games Ltd",2
2010,"Nicklas Nygren",1
2010,"Nitro Games",5
2010,"Nordic Games",4
2010,"Noumenon Games",2
2010,"Ntreev Soft Co., Ltd.",1
2010,"Oasis Games",2
2010,"Obsidian Entertainment",5
2010,"Octoshark Studios",2
2010,"Oddworld Inhabitants",2
