Developer,count(*)
"Charlie Oscar Lima Tango Interactive Entertainment",2
CharlieH,1
"Charyb Games",1
"Charybdis Ltd",2
"Chasing Carrots",4
"Cheese and Bacon Games",1
"Chemistry Laboratories",1
"Chequered Ink Ltd.",1
Cheritz,1
"Cherry Co. Studios",1
"Cherry Pie Games",1
"Cherry Pop Games",18
Cherry-sama,1
ChessBase,3
"ChessBase GmbH",1
Chewa,1
"Chicago & Southwest Productions",1
"Chicken in The Corn",1
chickeninthecornstudio,1
"Childish Things",2
"Chimera Entertainment",2
Chipzel,2
"ChiVue Games",1
Chocoarts,1
"Chocolate Homunculus",1
"Chocolate Liberation Front",1
"Choice of Games",61
"Choice Provisions",2
"Chondrite Games",1
"Chris Christodoulou",1
"Chris Chung",2
"Chris Hopkin",1
"Chris Johnson",1
"Chris Larkin",2
"Chris McFarland",2
"Chris Parsons",1
"Chris Sawyer",1
"Chris Sawyer Productions",2
"Christ Laurenz Sambrano",1
"Christian Reuter",1
"Christine Love",4
"Christoph Winkler",1
"Christopher Cinq-Mars Jarvis",2
"Christopher Escalante",1
"Christopher Hoag",2
"Chromatic Dream",1
"Chronic Logic",3
"Chronicle Bench",1
"Chronicle Games",1
Chu-3,3
"Chuck Productions",1
"CI Games",11
Cielosim,1
"Cinema Lapiniere",1
Cinemaware,2
"CINEMAX, s.r.o.",13
"Cinopt Studios",1
"Cipher Prime Studios",7
"Ciprian Stanciu",2
"Circle Five Studios",2
"Circle The Wagen, LLC",1
"Ciro Continisio",3
"Citeremis Inc.",3
"City Interactive",14
CivilSavages,5
"Claeys Brothers",1
Clapfoot,1
"Clarus Victoria",1
ClarusVictoria,1
"Claudio Norori",1
"Claudio Panzanaro",1
"Claws of Lorek",1
CleanWaterSoft,2
"Clever Endeavour Games",1
Clever-Plays,1
"Cleversan Software",1
Cleverweek,10
"Clewcat Games",2
"Cliax Games",1
"ClickShake Games LLC",1
Clickteam,1
"Clickteam LLC",1
"Cliffhanger Productions",21
"Clifftop Games",2
"Climax Studios",6
Clockstone,5
"ClockStone Studios",1
"Clockwork Cuckoo",1
ClorithStudio,1
"Cloud 9 Studio",5
"Cloud Runner Studios",1
"Cloudhead Games ltd.",1
"Clouds and Blue",2
"CM Softworks",1
CMI,1
"CoaguCo Industries",2
"Coal Car Studio Ltd.",1
"Coasting Films, LLC",1
Coatsink,1
Cobalt-57,1
"Cobra Mobile",8
"Cobra Mobile Limited",2
"Cockroach Inc.",4
"Cockroach Ink.",1
Cococucumber,1
"Code Avarice",1
"Code Club AB",1
"Code Force",1
"Code Headquarters LLC",1
"Code Mystics",3
CODEBLACK,1
"CodeBrush Games",2
Codeglue,1
CodeHatch,1
Codemasters,4
"Codemasters - Birmingham Studio",1
"Codemasters Action Studio",1
"Codemasters Birmingham",21
"Codemasters Digital",1
"Codemasters Racing",23
"Codemasters Racing Studio",5
"Codemasters Studios",3
"Codename Entertainment Inc.",1
Codeusa,2
"Codex Worlds",2
Code}{atch,2
"Coffee Powered Machine",1
"Coffee Stain Studios",20
Coilworks,2
"Cold Beam Games",5
"Cold Tea Studio",2
"Coldrice Games LLC",1
"Coldwood Interactive",1
"Cole Neumann",1
"ColePowered Games",1
"Colibri Games",2
"Colin Northway",1
"Colin Northway with art by Thomas Shahan",1
"Colin Sanders",1
"Collected Worlds",1
"Collectif Nemoïd",1
"Collin, Kaleb, & Jeya",1
ColloseusX,1
"Colludium Ltd",2
"Colonthree Enterprises",1
"Colopl NI",1
"Colorful Media",1
"Colossai Studio",1
"Colossal Games",2
