Year(Release_Date),Genre,Developer,count(*)
2009,Casual,"Thinking Studios",1
2009,Casual,TrueThought,1
2009,Casual,"Vectorpark, Inc.",1
2009,Casual,"Wideload Games",2
2009,Casual,Yullaby,1
2009,"Free to Play","Dystopia Team",2
2009,"Free to Play","Nimbly Games",1
2009,"Free to Play","Puny Human",2
2009,Indie,2DEngine.com,1
2009,Indie,"ACE Team",2
2009,Indie,"Amanita Design",4
2009,Indie,"Arcen Games, LLC",2
2009,Indie,"Basilisk Games",1
2009,Indie,"Black Jacket Studios",2
2009,Indie,"Broken Rules",2
2009,Indie,"Citeremis Inc.",1
2009,Indie,Croteam,2
2009,Indie,"Dejobaan Games, LLC",1
2009,Indie,DiezelPower,2
2009,Indie,"Digital Eel",1
2009,Indie,"Dream Forge Entertainment, LLC",1
2009,Indie,"Dystopia Team",2
2009,Indie,"Edmund McMillen and Florian Himsl",1
2009,Indie,Elecorn,2
2009,Indie,"Enlight Software Limited",1
2009,Indie,"Erik Svedäng",1
2009,Indie,"Frictional Games",4
2009,Indie,Frozenbyte,3
2009,Indie,Futuremark,1
2009,Indie,Gamerizon,2
2009,Indie,"Hemisphere Games",2
2009,Indie,"Hidden Path Entertainment",1
2009,Indie,"Invent4 Entertainment",2
2009,Indie,"Inventive Dingo",1
2009,Indie,"inXile Entertainment, inc.",1
2009,Indie,IonFX,1
2009,Indie,"Jason Rohrer",1
2009,Indie,Kloonigames,2
2009,Indie,"Konstantin Koshutin",2
2009,Indie,"KranX Productions",2
2009,Indie,"Lazy 8 Studios",2
2009,Indie,"Llamasoft LTD",1
2009,Indie,"Lucas Pope and Keiko Ishizaka",1
2009,Indie,"Makivision Games",2
2009,Indie,"Mindstorm Studios",2
2009,Indie,Mousechief,1
2009,Indie,Nimblebit,1
2009,Indie,"Nimbly Games",2
2009,Indie,"Number None",3
2009,Indie,"Oxeye Game Studio",2
2009,Indie,"Paleo Entertainment",1
2009,Indie,Playbrains,3
2009,Indie,"Positech Games",3
2009,Indie,"Puny Human",2
2009,Indie,"Rake in Grass",3
2009,Indie,"Red Rocket Games",4
2009,Indie,"Redlynx Ltd",2
2009,Indie,"Rudolf Kremers & Alex May",1
2009,Indie,SaintXi,1
2009,Indie,"Sakari Indie",1
2009,Indie,"Sigma Team Inc.",9
2009,Indie,"Size Five Games",2
2009,Indie,"Slam Dunk Studios",2
2009,Indie,"Tale of Tales",5
2009,Indie,"Thinking Studios",2
2009,Indie,TrueThought,1
2009,Indie,"Twisted Pixel Games",5
2009,Indie,"Vectorpark, Inc.",1
2009,Indie,Yullaby,1
2009,Indie,"Zombie Cow Studios",1
2009,"Massively Multiplayer",ArenaNet®,4
2009,Racing,"Asobo Studio SARL",1
2009,Racing,"Black Jacket Studios",2
2009,Racing,"Criterion Games",1
2009,Racing,Eipix,1
2009,Racing,Nimblebit,1
2009,Racing,"Redlynx Ltd",2
2009,Racing,"RTL interactive",1
2009,Racing,SimBin,3
2009,Racing,"Sky Fallen",2
2009,Racing,"Slightly Mad Studios",1
2009,Racing,Synetic,1
2009,Racing,"Targem Games",2
2009,Racing,"Ubisoft Reflections",1
2009,RPG,"1C Company",3
2009,RPG,1C-SoftClub,1
2009,RPG,1C:InoCo,1
2009,RPG,ArenaNet®,4
2009,RPG,"Aspyr (Mac)",2
2009,RPG,"Basilisk Games",2
2009,RPG,"Bethesda Game Studios",2
2009,RPG,"Bethesda Game Studios®",1
2009,RPG,BioWare,3
2009,RPG,"Black Isle Studios",2
2009,RPG,"CD Projekt RED  ",1
2009,RPG,"Citeremis Inc.",1
2009,RPG,Elecorn,2
2009,RPG,Frogwares,1
2009,RPG,"Gearbox Software",2
2009,RPG,"Infinite Interactive",1
2009,RPG,"Interplay Inc.",2
2009,RPG,"Irrational Games",6
2009,RPG,"Katauri Interactive",3
2009,RPG,"Liquid Entertainment",1
2009,RPG,"Master Creating",1
2009,RPG,Mousechief,1
2009,RPG,NeoCoreGames,2
2009,RPG,Phenomic,2
2009,RPG,"Piranha Bytes",1
2009,RPG,"Piranha – Bytes",3
2009,RPG,PlayFirst,1
2009,RPG,"PopCap Games, Inc.",2
2009,RPG,"Radon Labs",1
2009,RPG,"Reality Pump Studios",1
2009,RPG,"Runic Games",2
2009,RPG,"Sigma Team Inc.",10
2009,RPG,"SkyFallen Entertainment",1
2009,RPG,"SQUARE ENIX",4
2009,RPG,"Topware Interactive",1
2009,RPG,"Triumph Studios",4
2009,Simulation,1C:InoCo,2
2009,Simulation,3000AD,4
2009,Simulation,"Aliasworlds Entertainment",1
2009,Simulation,"AllAboardRails / JustTrains",4
2009,Simulation,"Big Splash Games, LLC",1
2009,Simulation,"Blue Byte",2
2009,Simulation,"Blue Fang",1
2009,Simulation,"Bohemia Interactive",4
2009,Simulation,"BreakAway Games",2
2009,Simulation,"City Interactive",2
2009,Simulation,Cyberlore,1
2009,Simulation,"Deep Red Limited",1
2009,Simulation,"Dovetail Games",10
2009,Simulation,"EA - Maxis",1
2009,Simulation,"Enlight Software Limited",1
2009,Simulation,"Frog City Software",2
2009,Simulation,"Haemimont Games",4
2009,Simulation,"Hip Soft",4
2009,Simulation,iWin,1
2009,Simulation,"Last Day of Work",2
2009,Simulation,LucasArts,2
2009,Simulation,"Mindstorm Studios",2
2009,Simulation,NovaLogic,6
2009,Simulation,"Oovee Simulation",1
2009,Simulation,"Oovee® Game Studios",1
2009,Simulation,PlayFirst,2
2009,Simulation,"PopTop Software",2
2009,Simulation,"Positech Games",2
2009,Simulation,RailSimulator.com,18
2009,Simulation,Related,2
2009,Simulation,"Related Designs",2
2009,Simulation,Reppo,1
2009,Simulation,SaintXi,1
2009,Simulation,Sarbakan,1
2009,Simulation,"Sports Interactive",1
2009,Simulation,"Tale of Tales",2
2009,Simulation,"Virtual Playground",1
2009,Simulation,"Wideload Games",2
2009,Simulation,Zemnott,1
2009,Sports,"49 Games",1
2009,Sports,"Black Jacket Studios",2
2009,Sports,"Dejobaan Games, LLC",1
